Project Name ▲,Sample ID,Depth,Biome,Environmental Feature,Environmental Material,Nitrate,Phosphate
GOS,SAMEA3512140,2,ocean biome,coastal water body,sea water,0.559,0.025
GOS,SAMEA3512139,2,ocean biome,coastal water body,sea water,0.559,0.025
GOS,SAMEA3512138,2,ocean biome,coastal water body,sea water,0.559,0.025
GOS,SAMEA3512143,70,ocean biome,coastal water body,sea water,1.365,0.202
GOS,SAMEA3512142,70,ocean biome,coastal water body,sea water,1.365,0.202
GOS,SAMEA3512141,70,ocean biome,coastal water body,sea water,1.365,0.202
GOS,SAMEA3512150,17,ocean biome,coastal water body,sea water,2.63,0.032
GOS,SAMEA3512149,17,ocean biome,coastal water body,sea water,2.63,0.032
GOS,SAMEA3512186,0.304878,ocean biome,coastal water body,sea water,0.693,0.062
GOS,SAMEA3512128,8,ocean biome,coastal water body,sea water,1.436,0.586
GOS,SAMEA3512127,8,ocean biome,coastal water body,sea water,1.436,0.586
GOS,SAMEA3512126,8,ocean biome,coastal water body,sea water,1.436,0.586
GOS,SAMEA3512134,20,ocean biome,coastal water body,sea water,5.182,0.509
GOS,SAMEA3512133,20,ocean biome,coastal water body,sea water,5.182,0.509
GOS,SAMEA3512132,20,ocean biome,coastal water body,sea water,5.182,0.509
GOS,SAMEA3512153,1,freshwater lake biome,freshwater lake,fresh water,37.875,0.037
GOS,SAMEA3512152,1,freshwater lake biome,freshwater lake,fresh water,37.875,0.037
GOS,SAMEA3512151,1,freshwater lake biome,freshwater lake,fresh water,37.875,0.037
GOS,SAMEA3512156,9,freshwater lake biome,freshwater lake,fresh water,39.813,0.045
GOS,SAMEA3512155,9,freshwater lake biome,freshwater lake,fresh water,39.813,0.045
GOS,SAMEA3512154,9,freshwater lake biome,freshwater lake,fresh water,39.813,0.045
HOT ALOHA time/depth series,SAMN05991650,25.8351,marine biome,marine wind mixed layer,sea water,3.082,0.092124
HOT ALOHA time/depth series,SAMN05991651,45.7061,marine biome,marine wind mixed layer,sea water,2.146,0.081888
HOT ALOHA time/depth series,SAMN05991652,75.5089,marine biome,marine wind mixed layer,sea water,2.661,0.092124
HOT ALOHA time/depth series,SAMN05991653,125.17,marine biome,marine wind mixed layer,sea water,0.193,0.106336
HOT ALOHA time/depth series,SAMN05991654,200.632,marine biome,oceanic zone,sea water,0.815,0.15354
HOT ALOHA time/depth series,SAMN05991655,500.226,marine biome,marine mesopelagic zone,sea water,29.157,2.26216
HOT ALOHA time/depth series,SAMN05991656,769.687,marine biome,marine mesopelagic zone,sea water,40.433,3.02986
HOT ALOHA time/depth series,SAMN05991657,999.246,marine biome,marine mesopelagic zone,sea water,40.676,3.05033
HOT ALOHA time/depth series,SAMN05991658,25.8351,marine biome,marine wind mixed layer,sea water,1.576,0.081888
HOT ALOHA time/depth series,SAMN05991659,45.7061,marine biome,marine wind mixed layer,sea water,1.252,0.10236
HOT ALOHA time/depth series,SAMN05991660,75.5089,marine biome,marine wind mixed layer,sea water,1.146,0.10236
HOT ALOHA time/depth series,SAMN05991661,125.17,marine biome,marine wind mixed layer,sea water,1.358,0.133068
HOT ALOHA time/depth series,SAMN05991662,200.633,marine biome,oceanic zone,sea water,2.118,0.143304
HOT ALOHA time/depth series,SAMN05991663,500.227,marine biome,marine mesopelagic zone,sea water,30.172,2.24168
HOT ALOHA time/depth series,SAMN05991664,769.688,marine biome,marine mesopelagic zone,sea water,39.982,3.02986
HOT ALOHA time/depth series,SAMN05991665,999.247,marine biome,marine mesopelagic zone,sea water,41.576,3.05033
HOT ALOHA time/depth series,SAMN05991666,25.8352,marine biome,marine wind mixed layer,sea water,1.959,0.071652
HOT ALOHA time/depth series,SAMN05991667,45.7061,marine biome,marine wind mixed layer,sea water,1.957,0.071652
HOT ALOHA time/depth series,SAMN05991668,75.509,marine biome,marine wind mixed layer,sea water,1.717,0.071652
HOT ALOHA time/depth series,SAMN05991669,200.634,marine biome,oceanic zone,sea water,1.119,0.143304
HOT ALOHA time/depth series,SAMN05991670,500.228,marine biome,marine mesopelagic zone,sea water,29.912,2.31334
HOT ALOHA time/depth series,SAMN05991671,769.691,marine biome,marine mesopelagic zone,sea water,40.279,2.99915
HOT ALOHA time/depth series,SAMN05991672,999.25,marine biome,marine mesopelagic zone,sea water,43.249,3.05033
HOT ALOHA time/depth series,SAMN05991673,25.8351,marine biome,marine wind mixed layer,sea water,2.225,0.112596
HOT ALOHA time/depth series,SAMN05991674,45.7061,marine biome,marine wind mixed layer,sea water,2.292,0.10236
HOT ALOHA time/depth series,SAMN05991675,75.5088,marine biome,marine wind mixed layer,sea water,2.902,0.10236
HOT ALOHA time/depth series,SAMN05991676,125.171,marine biome,marine wind mixed layer,sea water,1.956,0.112596
HOT ALOHA time/depth series,SAMN05991677,500.226,marine biome,marine mesopelagic zone,sea water,31.533,2.20074
HOT ALOHA time/depth series,SAMN05991678,769.687,marine biome,marine mesopelagic zone,sea water,42.169,3.15269
HOT ALOHA time/depth series,SAMN05991679,999.246,marine biome,marine mesopelagic zone,sea water,42.289,3.09127
HOT ALOHA time/depth series,SAMN05991680,25.8353,marine biome,marine wind mixed layer,sea water,2.622,0.040944
HOT ALOHA time/depth series,SAMN05991681,125.171,marine biome,marine wind mixed layer,sea water,2.027,0.081888
HOT ALOHA time/depth series,SAMN05991682,200.635,marine biome,oceanic zone,sea water,5.191,0.327552
HOT ALOHA time/depth series,SAMN05991683,500.226,marine biome,marine mesopelagic zone,sea water,29.819,2.17003
HOT ALOHA time/depth series,SAMN05991684,769.687,marine biome,marine mesopelagic zone,sea water,43.078,3.12198
HOT ALOHA time/depth series,SAMN05991685,999.246,marine biome,marine mesopelagic zone,sea water,42.822,3.08104
HOT ALOHA time/depth series,SAMN05991686,25.8352,marine biome,marine wind mixed layer,sea water,0.814,0.10236
HOT ALOHA time/depth series,SAMN05991687,75.5092,marine biome,marine wind mixed layer,sea water,0.662,0.081888
HOT ALOHA time/depth series,SAMN05991688,125.171,marine biome,marine wind mixed layer,sea water,-0.149,0.112596
HOT ALOHA time/depth series,SAMN05991689,200.634,marine biome,oceanic zone,sea water,2.508,0.133068
HOT ALOHA time/depth series,SAMN05991690,500.225,marine biome,marine mesopelagic zone,sea water,28.161,2.12909
HOT ALOHA time/depth series,SAMN05991691,769.685,marine biome,marine mesopelagic zone,sea water,41.416,3.06056
HOT ALOHA time/depth series,SAMN05991692,999.243,marine biome,marine mesopelagic zone,sea water,42.295,3.0708
HOT ALOHA time/depth series,SAMN05991693,25.8352,marine biome,marine wind mixed layer,sea water,1.868,0.030708
HOT ALOHA time/depth series,SAMN05991694,75.509,marine biome,marine wind mixed layer,sea water,2.691,0.020472
HOT ALOHA time/depth series,SAMN05991695,125.171,marine biome,marine wind mixed layer,sea water,0.95,0.040944
HOT ALOHA time/depth series,SAMN05991696,200.634,marine biome,oceanic zone,sea water,3.568,0.225192
HOT ALOHA time/depth series,SAMN05991697,500.228,marine biome,marine mesopelagic zone,sea water,31.54,2.28263
HOT ALOHA time/depth series,SAMN05991698,769.69,marine biome,marine mesopelagic zone,sea water,40.856,3.0708
HOT ALOHA time/depth series,SAMN05991699,999.25,marine biome,marine mesopelagic zone,sea water,42.604,3.0708
HOT ALOHA time/depth series,SAMN05991700,25.8352,marine biome,marine wind mixed layer,sea water,2.243,0.092124
HOT ALOHA time/depth series,SAMN05991701,75.5091,marine biome,marine wind mixed layer,sea water,2.37,0.112596
HOT ALOHA time/depth series,SAMN05991702,125.171,marine biome,marine wind mixed layer,sea water,2.781,0.086826
HOT ALOHA time/depth series,SAMN05991703,200.634,marine biome,oceanic zone,sea water,3.863,0.266136
HOT ALOHA time/depth series,SAMN05991704,500.227,marine biome,marine mesopelagic zone,sea water,33.367,2.59994
HOT ALOHA time/depth series,SAMN05991705,769.688,marine biome,marine mesopelagic zone,sea water,42.072,3.02986
HOT ALOHA time/depth series,SAMN05991706,999.247,marine biome,marine mesopelagic zone,sea water,42.359,3.05033
HOT ALOHA time/depth series,SAMN05991707,25.8353,marine biome,marine wind mixed layer,sea water,2.261,0.020472
HOT ALOHA time/depth series,SAMN05991708,75.5093,marine biome,marine wind mixed layer,sea water,1.528,0.030708
HOT ALOHA time/depth series,SAMN05991709,125.171,marine biome,marine wind mixed layer,sea water,2.596,0.10236
HOT ALOHA time/depth series,SAMN05991710,200.634,marine biome,oceanic zone,sea water,5.777,0.296844
HOT ALOHA time/depth series,SAMN05991711,500.229,marine biome,marine mesopelagic zone,sea water,29.98,2.08814
HOT ALOHA time/depth series,SAMN05991712,769.691,marine biome,marine mesopelagic zone,sea water,41.819,3.04009
HOT ALOHA time/depth series,SAMN05991713,999.246,marine biome,marine mesopelagic zone,sea water,42.978,3.05033
HOT ALOHA time/depth series,SAMN05991714,25.8352,marine biome,marine wind mixed layer,sea water,1.649,0.040944
HOT ALOHA time/depth series,SAMN05991715,75.509,marine biome,marine wind mixed layer,sea water,1.577,0.0286055
HOT ALOHA time/depth series,SAMN05991716,125.171,marine biome,marine wind mixed layer,sea water,3.195,0.133068
HOT ALOHA time/depth series,SAMN05991717,200.633,marine biome,oceanic zone,sea water,4.309,0.2559
HOT ALOHA time/depth series,SAMN05991718,500.226,marine biome,marine mesopelagic zone,sea water,29.385,2.20074
HOT ALOHA time/depth series,SAMN05991719,769.687,marine biome,marine mesopelagic zone,sea water,41.901,3.0708
HOT ALOHA time/depth series,SAMN05991720,999.246,marine biome,marine mesopelagic zone,sea water,42.838,3.04009
HOT ALOHA time/depth series,SAMN05991721,25.8351,marine biome,marine wind mixed layer,sea water,2.877,0.061416
HOT ALOHA time/depth series,SAMN05991722,75.5089,marine biome,marine wind mixed layer,sea water,1.898,0.05118
HOT ALOHA time/depth series,SAMN05991723,125.171,marine biome,marine wind mixed layer,sea water,2.232,0.081888
HOT ALOHA time/depth series,SAMN05991724,200.633,marine biome,oceanic zone,sea water,5.167,0.30708
HOT ALOHA time/depth series,SAMN05991725,500.226,marine biome,marine mesopelagic zone,sea water,29.002,2.05744
HOT ALOHA time/depth series,SAMN05991726,769.687,marine biome,marine mesopelagic zone,sea water,41.405,3.09127
HOT ALOHA time/depth series,SAMN05991727,999.246,marine biome,marine mesopelagic zone,sea water,42.713,3.12198
HOT ALOHA time/depth series,SAMN05991728,25.8351,marine biome,marine wind mixed layer,sea water,1.515,0.071652
HOT ALOHA time/depth series,SAMN05991729,75.5089,marine biome,marine wind mixed layer,sea water,1.352,0.071652
HOT ALOHA time/depth series,SAMN05991730,125.171,marine biome,marine wind mixed layer,sea water,0.902,0.092124
HOT ALOHA time/depth series,SAMN05991731,200.634,marine biome,oceanic zone,sea water,2.895,0.235428
HOT ALOHA time/depth series,SAMN05991732,500.226,marine biome,marine mesopelagic zone,sea water,30.956,2.1598
HOT ALOHA time/depth series,SAMN05991733,769.687,marine biome,marine mesopelagic zone,sea water,42.795,3.06056
HOT ALOHA time/depth series,SAMN05991734,999.246,marine biome,marine mesopelagic zone,sea water,44.428,3.04009
HOT DeLong,SAMN02798443,500.225,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,33.17,2.22121
HOT DeLong,SAMN02798445,500.226,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,27.294,2.12909
HOT DeLong,SAMN02798446,500.225,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,28.255,2.40546
HOT DeLong,SAMN02798447,500.228,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,21.371,2.22121
HOT DeLong,SAMN02798448,500.228,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,28.878,2.01649
HOT DeLong,SAMN02798449,500.224,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,25.666,1.86295
HOT DeLong,SAMN02798450,500.227,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,29.369,1.97555
HOT DeLong,SAMN02798451,500.225,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,30.907,2.05744
HOT DeLong,SAMN02798452,500.224,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,28.285,2.08814
HOT DeLong,SAMN02798453,500.225,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,32.111,2.18027
HOT DeLong,SAMN02798454,500.225,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,33.855,2.3031
HOT DeLong,SAMN02798455,500.229,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,30.714,2.13932
HOT DeLong,SAMN02798456,500.228,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,33.604,2.23145
HOT DeLong,SAMN02798457,500.227,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,27.85,1.88342
HOT DeLong,SAMN02798458,500.226,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,30.58,2.11885
HOT DeLong,SAMN02798459,500.226,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,32.028,1.99602
HOT DeLong,SAMN02798460,500.225,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,30.261,2.20074
HOT DeLong,SAMN02798461,500.227,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,29.124,2.1598
HOT DeLong,SAMN02798462,500.226,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,30.022,2.08814
HOT DeLong,SAMN02798463,500.226,oceanic epipelagic zone biome,marine mesopelagic zone,sea water,32.297,2.25192
OSD,SAMEA3275603,0,mediterranean sea biome,lagoon,brackish water,1.75,0.165
OSD,SAMEA3275576,0,mediterranean sea biome,lagoon,brackish water,7.69,0.24
OSD,SAMEA3275571,1,estuarine biome,estuary,coastal sea water,12.16,3.52
OSD,SAMEA3275570,1,estuarine biome,estuary,coastal sea water,58.92,3.96
OSD,SAMEA3275484,2,marine biome,sea,coastal sea water,0.123,4.563
OSD,SAMEA3275624,0,mediterranean sea biome,brackish estuary,coastal sea water,12.5,0.25
OSD,SAMEA3275623,0,mediterranean sea biome,sea,coastal sea water,0.67,0.16
OSD,SAMEA3275601,2,mediterranean sea biome,sea,coastal sea water,2.59,0.067
OSD,SAMEA3275555,0,mediterranean sea biome,sea,coastal sea water,0.15,0.27
OSD,SAMEA3275645,0,neritic epipelagic zone biome,coastal water body,coastal sea water,1.3,0.1
OSD,SAMEA3275559,2,freshwater lake biome,freshwater lake,fresh water,0.016,0.0116
OSD,SAMEA3275535,1,marine biome,ocean,mesotrophic water,0.8675,0.1275
OSD,SAMEA3282985,39,marine biome,pelagic isothermal surface,mesotrophic water,1.4225,0.65
OSD,SAMEA3275486,0.5,marine pelagic biome,pelagic isothermal surface,oligotrophic water,95.15,2.79
OSD,SAMEA3275639,75,oceanic epipelagic zone biome,deep chlorophyll maximum layer,oligotrophic water,0.34,0.27
OSD,SAMEA3275547,1,oceanic epipelagic zone biome,sea,oligotrophic water,0.05,0.01
OSD,SAMEA3275640,1,oceanic epipelagic zone biome,sea,oligotrophic water,0.17,0.07
OSD,SAMEA3275509,1,estuarine biome,estuary,sea water,0.1,0.7
OSD,SAMEA3275600,0,marine biome,bay,sea water,1.6,0.16
OSD,SAMEA3275548,20,marine biome,deep chlorophyll maximum layer,sea water,0.16,0.05
OSD,SAMEA3275578,1,marine biome,landlocked sea,sea water,1,1
OSD,SAMEA3275609,1,marine biome,marine algal bloom,sea water,0.3,0.931
OSD,SAMEA3275607,0,marine biome,ocean,sea water,0.07,0.18
OSD,SAMEA3275506,5,marine biome,sea,sea water,5.4,0.85
OSD,SAMEA3275490,2,marine biome,sea,sea water,0.274,0.034
OSD,SAMEA3275483,0.1,marine biome,sea,sea water,3.842,1.426
OSD,SAMEA3275643,0,marine biome,sea,sea water,2.86,0.1
OSD,SAMEA3275579,0,marine biome,sea,sea water,6.17,0.06
OSD,SAMEA3275573,0.8,marine biome,sea,sea water,0.03,0.03
OSD,SAMEA3275568,0.5,marine biome,sea,sea water,4.8,0.31
OSD,SAMEA3275567,0.5,marine biome,sea,sea water,7.4,0.6
OSD,SAMEA3275549,1,marine biome,sea,sea water,2.321,0.012
OSD,SAMEA3275498,1,marine pelagic biome,bay,sea water,1,0.04
OSD,SAMEA3275468,0,marine pelagic biome,ocean,sea water,0.1,0.1
OSD,SAMEA3275466,0,marine pelagic biome,ocean,sea water,0.5383,0.123
OSD,SAMEA3275619,1,marine pelagic biome,ocean,sea water,0.2451,0.1206
OSD,SAMEA3275618,1,marine pelagic biome,ocean,sea water,0.0665,0.0693
OSD,SAMEA3275617,1,marine pelagic biome,ocean,sea water,3.0343,0.3081
OSD,SAMEA3275467,0,marine pelagic biome,sea,sea water,0.102,0.0539
OSD,SAMEA3275465,0,marine pelagic biome,sea,sea water,0.2596,0.3583
OSD,SAMEA3275575,0,mediterranean sea biome,coastal inlet,sea water,3.81,0.145
OSD,SAMEA3275602,0,mediterranean sea biome,coastal water body,sea water,4.89,0.09
OSD,SAMEA3275529,4,mediterranean sea biome,sea,sea water,0.34,0.02
OSD,SAMEA3275633,2,mediterranean sea biome,sea,sea water,0.02,0.01
OSD,SAMEA3275629,75,mediterranean sea biome,sea,sea water,0.2,0.03
OSD,SAMEA3275642,0,mediterranean sea biome,sea,sea water,0.59,0.24
OSD,SAMEA3275625,1,mediterranean sea biome,sea,sea water,0.026,0.16
OSD,SAMEA3275531,0.2,neritic epipelagic zone biome,sea,sea water,0.8065,5.2647
Tara Oceans,SAMEA2731676,5,marine biome,sea surface layer,particulate matter,2.99923,0.1595
Tara Oceans,SAMEA2732078,5,marine biome,sea surface layer,particulate matter,0.992351,0.001
Tara Oceans,SAMEA2732322,5,marine biome,sea surface layer,particulate matter,3.61821,0.55525
Tara Oceans,SAMEA2732277,5,marine biome,sea surface layer,particulate matter,3.61821,0.55525
Tara Oceans,SAMEA2732721,60,marine biome,deep chlorophyll maximum layer,particulate matter,15.325,1.108
Tara Oceans,SAMEA2732910,115,marine biome,deep chlorophyll maximum layer,particulate matter,1.8842,0.1252
Tara Oceans,SAMEA2732443,5,marine biome,sea surface layer,particulate matter,-1.89738,0.186
Tara Oceans,SAMEA2732442,5,marine biome,sea surface layer,particulate matter,-2.81653,0.186
Tara Oceans,SAMEA2732267,80,marine biome,deep chlorophyll maximum layer,particulate matter,-0.499353,0.332
Tara Oceans,SAMEA2732208,80,marine biome,deep chlorophyll maximum layer,particulate matter,0.253489,0.332
Tara Oceans,SAMEA2732648,5,marine biome,sea surface layer,particulate matter,-0.290769,0.225
Tara Oceans,SAMEA2732644,80,marine biome,deep chlorophyll maximum layer,particulate matter,-0.217565,0.332
Tara Oceans,SAMEA2732441,5,marine biome,sea surface layer,particulate matter,-0.290769,0.225
Tara Oceans,SAMEA2622959,5,marine biome,sea surface layer,particulate matter,-2.17599,0.225
Tara Oceans,SAMEA2731578,5,marine biome,sea surface layer,particulate matter,-1.01654,0.19875
Tara Oceans,SAMEA2731531,5,marine biome,sea surface layer,particulate matter,-1.01654,0.19875
Tara Oceans,SAMEA2731721,5,marine biome,sea surface layer,particulate matter,-1.01654,0.19875
Tara Oceans,SAMEA2731720,5,marine biome,sea surface layer,particulate matter,-1.01654,0.19875
Tara Oceans,SAMEA2731658,5,marine biome,sea surface layer,particulate matter,-1.01654,0.20025
Tara Oceans,SAMEA2731626,5,marine biome,sea surface layer,particulate matter,-1.01654,0.20025
Tara Oceans,SAMEA2731525,5,marine biome,sea surface layer,particulate matter,-1.01654,0.191
Tara Oceans,SAMEA2731524,5,marine biome,sea surface layer,particulate matter,-1.01654,0.187833
Tara Oceans,SAMEA2731618,5,marine biome,sea surface layer,particulate matter,-1.01654,0.1815
Tara Oceans,SAMEA2731617,5,marine biome,sea surface layer,particulate matter,-1.01654,0.1815
Tara Oceans,SAMEA2731477,170,marine biome,deep chlorophyll maximum layer,particulate matter,0.295694,0.1175
Tara Oceans,SAMEA2731613,5,marine biome,sea surface layer,particulate matter,1.238,0.14225
Tara Oceans,SAMEA2732026,165,marine biome,deep chlorophyll maximum layer,particulate matter,-0.736328,0.115
Tara Oceans,SAMEA2731973,5,marine biome,sea surface layer,particulate matter,-0.916543,0.14225
Tara Oceans,SAMEA2622538,5,marine biome,sea surface layer,particulate matter,-0.916543,0.14225
Tara Oceans,SAMEA2622419,50,marine biome,deep chlorophyll maximum layer,particulate matter,10.9451,0.9295
Tara Oceans,SAMEA2732775,50,marine biome,deep chlorophyll maximum layer,particulate matter,7.82984,0.927625
Tara Oceans,SAMEA2732708,50,marine biome,deep chlorophyll maximum layer,particulate matter,9.92386,0.927625
Tara Oceans,SAMEA2622280,40,marine biome,deep chlorophyll maximum layer,particulate matter,9.68462,0.776625
Tara Oceans,SAMEA2732643,5,marine biome,sea surface layer,particulate matter,6.05863,0.573125
Tara Oceans,SAMEA2732589,5,marine biome,sea surface layer,particulate matter,5.71519,0.573125
Tara Oceans,SAMEA2732548,5,marine biome,sea surface layer,particulate matter,5.71519,0.573125
Tara Oceans,SAMEA2732195,5,marine biome,sea surface layer,particulate matter,1.90892,0.121
Tara Oceans,SAMEA2732634,175,marine biome,deep chlorophyll maximum layer,particulate matter,0.439117,0.1725
Tara Oceans,SAMEA2732369,5,marine biome,sea surface layer,particulate matter,0.274433,0.121
Tara Oceans,SAMEA2732902,155,marine biome,deep chlorophyll maximum layer,particulate matter,0.706853,0.181
Tara Oceans,SAMEA2732838,5,marine biome,sea surface layer,particulate matter,1.199,0.1575
Tara Oceans,SAMEA2621897,155,marine biome,deep chlorophyll maximum layer,particulate matter,0.110812,0.181
Tara Oceans,SAMEA2732425,5,marine biome,sea surface layer,particulate matter,0.104903,0.1575
Tara Oceans,SAMEA2732363,5,marine biome,sea surface layer,particulate matter,-0.372718,0.1575
Tara Oceans,SAMEA2732120,5,marine biome,sea surface layer,particulate matter,0.556794,0.2235
Tara Oceans,SAMEA2732968,5,marine biome,sea surface layer,particulate matter,0.556794,0.2235
Tara Oceans,SAMEA2621855,5,marine biome,sea surface layer,particulate matter,-0.399569,0.2235
Tara Oceans,SAMEA2621794,5,marine biome,sea surface layer,particulate matter,-1.48507,0.52125
Tara Oceans,SAMEA2732581,35,marine biome,deep chlorophyll maximum layer,particulate matter,20.5226,2.4585
Tara Oceans,SAMEA2732543,5,marine biome,sea surface layer,particulate matter,12.5557,1.553
Tara Oceans,SAMEA2732484,5,marine biome,sea surface layer,particulate matter,12.5557,1.553
Tara Oceans,SAMEA2732419,5,marine biome,sea surface layer,particulate matter,11.9924,1.553
Tara Oceans,SAMEA2732412,5,marine biome,sea surface layer,particulate matter,11.0037,1.176
Tara Oceans,SAMEA2732895,5,marine biome,sea surface layer,particulate matter,3.14709,0.429
Tara Oceans,SAMEA2732891,5,marine biome,sea surface layer,particulate matter,3.14709,0.429
Tara Oceans,SAMEA2732530,35,marine biome,deep chlorophyll maximum layer,particulate matter,3.22753,0.412
Tara Oceans,SAMEA2732468,35,marine biome,deep chlorophyll maximum layer,particulate matter,3.3458,0.412
Tara Oceans,SAMEA2732401,35,marine biome,deep chlorophyll maximum layer,particulate matter,3.41058,0.412
Tara Oceans,SAMEA2621364,5,marine biome,sea surface layer,particulate matter,1.85559,0.429
Tara Oceans,SAMEA2621339,85,marine biome,deep chlorophyll maximum layer,particulate matter,1.35093,0.357
Tara Oceans,SAMEA2732399,85,marine biome,deep chlorophyll maximum layer,particulate matter,1.28531,0.357
Tara Oceans,SAMEA2731419,70,marine biome,deep chlorophyll maximum layer,particulate matter,0.820273,0
Tara Oceans,SAMEA2731359,70,marine biome,deep chlorophyll maximum layer,particulate matter,0.820273,0
Tara Oceans,SAMEA2620530,80,marine biome,deep chlorophyll maximum layer,particulate matter,0.244232,0.1035
Tara Oceans,SAMEA2620528,80,marine biome,deep chlorophyll maximum layer,particulate matter,0.244232,0.1035
Tara Oceans,SAMEA2730773,5,marine biome,sea surface layer,particulate matter,0.244232,0.07325
Tara Oceans,SAMEA2620506,5,marine biome,sea surface layer,particulate matter,0.244232,0.07325
Tara Oceans,SAMEA2730847,5,marine biome,sea surface layer,particulate matter,-1.82607,0.093
Tara Oceans,SAMEA2730472,5,marine biome,sea surface layer,particulate matter,-0.711536,0.0705
Tara Oceans,SAMEA2620293,5,marine biome,sea surface layer,particulate matter,-0.711536,0.0705
Tara Oceans,SAMEA2730470,5,marine biome,sea surface layer,particulate matter,-0.711536,0.0705
Tara Oceans,SAMEA2620161,75,marine biome,None,particulate matter,19.3895,1.5
Tara Oceans,SAMEA2730647,5,marine biome,sea surface layer,particulate matter,-0.323509,0.144
Tara Oceans,SAMEA2624009,100,oceanic epipelagic zone biome,marine wind mixed layer,particulate matter,4.45478,0.249
Tara Oceans,SAMEA2731859,5,marine biome,sea surface layer,particulate matter,2.99923,0.1595
Tara Oceans,SAMEA2731672,5,marine biome,sea surface layer,particulate matter,1.44846,0.1595
Tara Oceans,SAMEA2623899,5,marine biome,sea surface layer,particulate matter,2.99923,0.1595
Tara Oceans,SAMEA2623881,80,marine biome,deep chlorophyll maximum layer,particulate matter,1.56535,0.022
Tara Oceans,SAMEA2732056,5,marine biome,sea surface layer,particulate matter,0.334082,0.0125
Tara Oceans,SAMEA2732052,5,marine biome,sea surface layer,particulate matter,0.334082,0.0125
