Project Name,Sample ID,latlong,Latitude,Longitude,Biome,Environmental Feature,Environmental Material,Acidity
CDEBI Juan de Fuca Ridge Flank,SAMN03166113,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166114,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166115,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166116,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
GOS,SAMEA3512125,"(20.094784,-105.63443)",20.094784,-105.63443,ocean biome,coastal water body,sea water,8.01
GOS,SAMEA3512124,"(20.094784,-105.63443)",20.094784,-105.63443,ocean biome,coastal water body,sea water,8.01
GOS,SAMEA3512123,"(20.094784,-105.63443)",20.094784,-105.63443,ocean biome,coastal water body,sea water,8.01
GOS,SAMEA3512131,"(7.1635003,-81.71476)",7.1635003,-81.71476,ocean biome,coastal water body,sea water,8.12
GOS,SAMEA3512130,"(7.1635003,-81.71476)",7.1635003,-81.71476,ocean biome,coastal water body,sea water,8.12
GOS,SAMEA3512129,"(7.1635003,-81.71476)",7.1635003,-81.71476,ocean biome,coastal water body,sea water,8.12
GOS,SAMEA3512137,"(50.249832,-4.216942)",50.249832,-4.216942,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512136,"(50.249832,-4.216942)",50.249832,-4.216942,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512135,"(50.249832,-4.216942)",50.249832,-4.216942,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512140,"(50.249832,-4.216942)",50.249832,-4.216942,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512139,"(50.249832,-4.216942)",50.249832,-4.216942,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512138,"(50.249832,-4.216942)",50.249832,-4.216942,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512143,"(50.02885,-4.3367)",50.02885,-4.3367,ocean biome,coastal water body,sea water,8.3
GOS,SAMEA3512142,"(50.02885,-4.3367)",50.02885,-4.3367,ocean biome,coastal water body,sea water,8.3
GOS,SAMEA3512141,"(50.02885,-4.3367)",50.02885,-4.3367,ocean biome,coastal water body,sea water,8.3
GOS,SAMEA3512146,"(50.02885,-4.3367)",50.02885,-4.3367,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512145,"(50.02885,-4.3367)",50.02885,-4.3367,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512144,"(50.02885,-4.3367)",50.02885,-4.3367,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512148,"(54.268715,7.1871166)",54.268715,7.1871166,ocean biome,coastal water body,sea water,8.47
GOS,SAMEA3512147,"(54.268715,7.1871166)",54.268715,7.1871166,ocean biome,coastal water body,sea water,8.47
GOS,SAMEA3512150,"(54.268715,7.1871166)",54.268715,7.1871166,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512149,"(54.268715,7.1871166)",54.268715,7.1871166,ocean biome,coastal water body,sea water,8.4
GOS,SAMEA3512168,"(40.808464,14.249701)",40.808464,14.249701,ocean biome,coastal water body,sea water,8.08
GOS,SAMEA3512167,"(40.808464,14.249701)",40.808464,14.249701,ocean biome,coastal water body,sea water,8.08
GOS,SAMEA3512166,"(40.808464,14.249701)",40.808464,14.249701,ocean biome,coastal water body,sea water,8.08
GOS,SAMEA3512169,"(38.25325,15.629167)",38.25325,15.629167,ocean biome,coastal water body,sea water,8.02
GOS,SAMEA3512170,"(38.25325,15.629167)",38.25325,15.629167,ocean biome,coastal water body,sea water,8
GOS,SAMEA3512181,"(38.827732,22.772516)",38.827732,22.772516,ocean biome,coastal water body,sea water,8.1
GOS,SAMEA3512180,"(38.827732,22.772516)",38.827732,22.772516,ocean biome,coastal water body,sea water,8.1
GOS,SAMEA3512179,"(38.827732,22.772516)",38.827732,22.772516,ocean biome,coastal water body,sea water,8.1
GOS,SAMEA3512184,"(38.827732,22.772516)",38.827732,22.772516,ocean biome,coastal water body,sea water,8
GOS,SAMEA3512183,"(38.827732,22.772516)",38.827732,22.772516,ocean biome,coastal water body,sea water,8
GOS,SAMEA3512182,"(38.827732,22.772516)",38.827732,22.772516,ocean biome,coastal water body,sea water,8
GOS,SAMEA3512185,"(36.383133,25.393566)",36.383133,25.393566,ocean biome,coastal water body,sea water,7.9
GOS,SAMEA3512186,"(36.400368,25.390034)",36.400368,25.390034,ocean biome,coastal water body,sea water,5.3
GOS,SAMEA3512128,"(20.094784,-105.63443)",20.094784,-105.63443,ocean biome,coastal water body,sea water,8.47
GOS,SAMEA3512127,"(20.094784,-105.63443)",20.094784,-105.63443,ocean biome,coastal water body,sea water,8.47
GOS,SAMEA3512126,"(20.094784,-105.63443)",20.094784,-105.63443,ocean biome,coastal water body,sea water,8.47
GOS,SAMEA3512134,"(7.1635003,-81.71143)",7.1635003,-81.71143,ocean biome,coastal water body,sea water,8.62
GOS,SAMEA3512133,"(7.1635003,-81.71143)",7.1635003,-81.71143,ocean biome,coastal water body,sea water,8.62
GOS,SAMEA3512132,"(7.1635003,-81.71143)",7.1635003,-81.71143,ocean biome,coastal water body,sea water,8.62
GOS,SAMEA3512160,"(39.49235,2.127316)",39.49235,2.127316,ocean biome,ocean,sea water,8.3
GOS,SAMEA3512161,"(39.49235,2.127316)",39.49235,2.127316,ocean biome,ocean,sea water,8.3
GOS,SAMEA3512165,"(39.897102,11.7578335)",39.897102,11.7578335,ocean biome,ocean,sea water,7.99
GOS,SAMEA3512171,"(38.528267,18.074806)",38.528267,18.074806,ocean biome,ocean,sea water,8
GOS,SAMEA3512172,"(41.213516,17.8776)",41.213516,17.8776,ocean biome,ocean,sea water,8.02
GOS,SAMEA3512175,"(42.435883,28.135767)",42.435883,28.135767,ocean biome,ocean,sea water,8.2
GOS,SAMEA3512174,"(42.435883,28.135767)",42.435883,28.135767,ocean biome,ocean,sea water,8.2
GOS,SAMEA3512173,"(42.435883,28.135767)",42.435883,28.135767,ocean biome,ocean,sea water,8.2
GOS,SAMEA3512178,"(42.435883,28.135767)",42.435883,28.135767,ocean biome,ocean,sea water,7.8
GOS,SAMEA3512177,"(42.435883,28.135767)",42.435883,28.135767,ocean biome,ocean,sea water,7.8
GOS,SAMEA3512176,"(42.435883,28.135767)",42.435883,28.135767,ocean biome,ocean,sea water,7.8
GOS,SAMEA3512190,"(27.863716,-13.68155)",27.863716,-13.68155,ocean biome,ocean,sea water,8.1
GOS,SAMEA3512191,"(27.863716,-13.68155)",27.863716,-13.68155,ocean biome,ocean,sea water,8.1
GOS,SAMEA3512192,"(17.540632,-51.638252)",17.540632,-51.638252,ocean biome,ocean,sea water,8.2
GOS,SAMEA3512193,"(17.540632,-51.638252)",17.540632,-51.638252,ocean biome,ocean,sea water,8.2
HOT ALOHA time/depth series,SAMN05991650,"(22.7555,-157.988),(22.75,-158),(22.7555,-157.988)",22.7555,-157.988,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991651,"(22.7555,-157.988),(22.75,-158),(22.7555,-157.988)",22.7555,-157.988,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991652,"(22.7555,-157.988),(22.75,-158),(22.7555,-157.988)",22.7555,-157.988,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991653,"(22.8337,-157.949),(22.75,-158),(22.8337,-157.949)",22.8337,-157.949,marine biome,marine wind mixed layer,sea water,8.05
HOT ALOHA time/depth series,SAMN05991654,"(22.8337,-157.949),(22.75,-158),(22.8337,-157.949)",22.8337,-157.949,marine biome,oceanic zone,sea water,7.98
HOT ALOHA time/depth series,SAMN05991655,"(22.745,-157.979),(22.75,-158),(22.745,-157.979)",22.745,-157.979,marine biome,marine mesopelagic zone,sea water,7.49
HOT ALOHA time/depth series,SAMN05991656,"(22.745,-157.979),(22.75,-158),(22.745,-157.979)",22.745,-157.979,marine biome,marine mesopelagic zone,sea water,7.36
HOT ALOHA time/depth series,SAMN05991657,"(22.745,-157.979),(22.75,-158),(22.745,-157.979)",22.745,-157.979,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991658,"(22.7492,-158.06),(22.75,-158),(22.7492,-158.06)",22.7492,-158.06,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991659,"(22.7492,-158.06),(22.75,-158),(22.7492,-158.06)",22.7492,-158.06,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991660,"(22.7492,-158.06),(22.75,-158),(22.7492,-158.06)",22.7492,-158.06,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991661,"(22.7908,-158.003),(22.75,-158),(22.7908,-158.003)",22.7908,-158.003,marine biome,marine wind mixed layer,sea water,8.02
HOT ALOHA time/depth series,SAMN05991662,"(22.7908,-158.003),(22.75,-158),(22.7908,-158.003)",22.7908,-158.003,marine biome,oceanic zone,sea water,7.97
HOT ALOHA time/depth series,SAMN05991663,"(22.7293,-157.926),(22.75,-158),(22.7293,-157.926)",22.7293,-157.926,marine biome,marine mesopelagic zone,sea water,7.49
HOT ALOHA time/depth series,SAMN05991664,"(22.7293,-157.926),(22.75,-158),(22.7293,-157.926)",22.7293,-157.926,marine biome,marine mesopelagic zone,sea water,7.36
HOT ALOHA time/depth series,SAMN05991665,"(22.7293,-157.926),(22.75,-158),(22.7293,-157.926)",22.7293,-157.926,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991666,"(22.7328,-157.971),(22.75,-158),(22.7328,-157.971)",22.7328,-157.971,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991667,"(22.7328,-157.971),(22.75,-158),(22.7328,-157.971)",22.7328,-157.971,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991668,"(22.7328,-157.971),(22.75,-158),(22.7328,-157.971)",22.7328,-157.971,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991669,"(22.7502,-157.999),(22.75,-158),(22.7502,-157.999)",22.7502,-157.999,marine biome,oceanic zone,sea water,7.99
HOT ALOHA time/depth series,SAMN05991670,"(22.6822,-157.956),(22.75,-158),(22.6822,-157.956)",22.6822,-157.956,marine biome,marine mesopelagic zone,sea water,7.53
HOT ALOHA time/depth series,SAMN05991671,"(22.6822,-157.956),(22.75,-158),(22.6822,-157.956)",22.6822,-157.956,marine biome,marine mesopelagic zone,sea water,7.36
HOT ALOHA time/depth series,SAMN05991672,"(22.6822,-157.956),(22.75,-158),(22.6822,-157.956)",22.6822,-157.956,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991673,"(22.7452,-157.982),(22.75,-158),(22.7452,-157.982)",22.7452,-157.982,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991674,"(22.7452,-157.982),(22.75,-158),(22.7452,-157.982)",22.7452,-157.982,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991675,"(22.7703,-158.016),(22.75,-158),(22.7703,-158.016)",22.7703,-158.016,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991676,"(22.7703,-158.016),(22.75,-158),(22.7703,-158.016)",22.7703,-158.016,marine biome,marine wind mixed layer,sea water,8.05
HOT ALOHA time/depth series,SAMN05991677,"(22.7468,-157.988),(22.75,-158),(22.7468,-157.988)",22.7468,-157.988,marine biome,marine mesopelagic zone,sea water,7.49
HOT ALOHA time/depth series,SAMN05991678,"(22.7468,-157.988),(22.75,-158),(22.7468,-157.988)",22.7468,-157.988,marine biome,marine mesopelagic zone,sea water,7.31
HOT ALOHA time/depth series,SAMN05991679,"(22.7468,-157.988),(22.75,-158),(22.7468,-157.988)",22.7468,-157.988,marine biome,marine mesopelagic zone,sea water,7.38
HOT ALOHA time/depth series,SAMN05991680,"(22.674,-158.009),(22.75,-158),(22.674,-158.009)",22.674,-158.009,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991681,"(22.6655,-157.994),(22.75,-158),(22.6655,-157.994)",22.6655,-157.994,marine biome,marine wind mixed layer,sea water,8.01
HOT ALOHA time/depth series,SAMN05991682,"(22.6655,-157.994),(22.75,-158),(22.6655,-157.994)",22.6655,-157.994,marine biome,oceanic zone,sea water,7.92
HOT ALOHA time/depth series,SAMN05991683,"(22.7498,-158.001),(22.75,-158),(22.7498,-158.001)",22.7498,-158.001,marine biome,marine mesopelagic zone,sea water,7.51
HOT ALOHA time/depth series,SAMN05991684,"(22.7498,-158.001),(22.75,-158),(22.7498,-158.001)",22.7498,-158.001,marine biome,marine mesopelagic zone,sea water,7.34
HOT ALOHA time/depth series,SAMN05991685,"(22.7498,-158.001),(22.75,-158),(22.7498,-158.001)",22.7498,-158.001,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991686,"(22.6877,-157.994),(22.75,-158),(22.6877,-157.994)",22.6877,-157.994,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991687,"(22.6877,-157.994),(22.75,-158),(22.6877,-157.994)",22.6877,-157.994,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991688,"(22.7425,-158.001),(22.75,-158),(22.7425,-158.001)",22.7425,-158.001,marine biome,marine wind mixed layer,sea water,8.02
HOT ALOHA time/depth series,SAMN05991689,"(22.7425,-158.001),(22.75,-158),(22.7425,-158.001)",22.7425,-158.001,marine biome,oceanic zone,sea water,7.97
HOT ALOHA time/depth series,SAMN05991690,"(22.7942,-158.087),(22.75,-158),(22.7942,-158.087)",22.7942,-158.087,marine biome,marine mesopelagic zone,sea water,7.51
HOT ALOHA time/depth series,SAMN05991691,"(22.7942,-158.087),(22.75,-158),(22.7942,-158.087)",22.7942,-158.087,marine biome,marine mesopelagic zone,sea water,7.35
HOT ALOHA time/depth series,SAMN05991692,"(22.7942,-158.087),(22.75,-158),(22.7942,-158.087)",22.7942,-158.087,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991693,"(22.7347,-157.999),(22.75,-158),(22.7347,-157.999)",22.7347,-157.999,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991694,"(22.7347,-157.999),(22.75,-158),(22.7347,-157.999)",22.7347,-157.999,marine biome,marine wind mixed layer,sea water,8.05
HOT ALOHA time/depth series,SAMN05991695,"(22.7288,-157.953),(22.75,-158),(22.7288,-157.953)",22.7288,-157.953,marine biome,marine wind mixed layer,sea water,8.02
HOT ALOHA time/depth series,SAMN05991696,"(22.7288,-157.953),(22.75,-158),(22.7288,-157.953)",22.7288,-157.953,marine biome,oceanic zone,sea water,7.95
HOT ALOHA time/depth series,SAMN05991697,"(22.6908,-157.989),(22.75,-158),(22.6908,-157.989)",22.6908,-157.989,marine biome,marine mesopelagic zone,sea water,7.48
HOT ALOHA time/depth series,SAMN05991698,"(22.6908,-157.989),(22.75,-158),(22.6908,-157.989)",22.6908,-157.989,marine biome,marine mesopelagic zone,sea water,7.35
HOT ALOHA time/depth series,SAMN05991699,"(22.6908,-157.989),(22.75,-158),(22.6908,-157.989)",22.6908,-157.989,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991700,"(22.716,-158.001),(22.75,-158),(22.716,-158.001)",22.716,-158.001,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991701,"(22.716,-158.001),(22.75,-158),(22.716,-158.001)",22.716,-158.001,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991702,"(22.727,-158.003),(22.75,-158),(22.727,-158.003)",22.727,-158.003,marine biome,marine wind mixed layer,sea water,8.05
HOT ALOHA time/depth series,SAMN05991703,"(22.727,-158.003),(22.75,-158),(22.727,-158.003)",22.727,-158.003,marine biome,oceanic zone,sea water,7.94
HOT ALOHA time/depth series,SAMN05991704,"(22.7252,-158.02),(22.75,-158),(22.7252,-158.02)",22.7252,-158.02,marine biome,marine mesopelagic zone,sea water,7.41
HOT ALOHA time/depth series,SAMN05991705,"(22.7252,-158.02),(22.75,-158),(22.7252,-158.02)",22.7252,-158.02,marine biome,marine mesopelagic zone,sea water,7.36
HOT ALOHA time/depth series,SAMN05991706,"(22.727,-158.003),(22.75,-158),(22.727,-158.003)",22.727,-158.003,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991707,"(22.6678,-158),(22.75,-158),(22.6678,-158)",22.6678,-158,marine biome,marine wind mixed layer,sea water,8.09
HOT ALOHA time/depth series,SAMN05991708,"(22.6678,-158),(22.75,-158),(22.6678,-158)",22.6678,-158,marine biome,marine wind mixed layer,sea water,8.05
HOT ALOHA time/depth series,SAMN05991709,"(22.7408,-157.982),(22.75,-158),(22.7408,-157.982)",22.7408,-157.982,marine biome,marine wind mixed layer,sea water,7.99
HOT ALOHA time/depth series,SAMN05991710,"(22.7408,-157.982),(22.75,-158),(22.7408,-157.982)",22.7408,-157.982,marine biome,oceanic zone,sea water,7.93
HOT ALOHA time/depth series,SAMN05991711,"(22.6712,-157.99),(22.75,-158),(22.6712,-157.99)",22.6712,-157.99,marine biome,marine mesopelagic zone,sea water,7.53
HOT ALOHA time/depth series,SAMN05991712,"(22.6712,-157.99),(22.75,-158),(22.6712,-157.99)",22.6712,-157.99,marine biome,marine mesopelagic zone,sea water,7.32
HOT ALOHA time/depth series,SAMN05991713,"(22.7408,-157.982),(22.75,-158),(22.7408,-157.982)",22.7408,-157.982,marine biome,marine mesopelagic zone,sea water,7.38
HOT ALOHA time/depth series,SAMN05991714,"(22.735,-158.002),(22.75,-158),(22.735,-158.002)",22.735,-158.002,marine biome,marine wind mixed layer,sea water,8.09
HOT ALOHA time/depth series,SAMN05991715,"(22.735,-158.002),(22.75,-158),(22.735,-158.002)",22.735,-158.002,marine biome,marine wind mixed layer,sea water,8.06
HOT ALOHA time/depth series,SAMN05991716,"(22.7565,-157.995),(22.75,-158),(22.7565,-157.995)",22.7565,-157.995,marine biome,marine wind mixed layer,sea water,8
HOT ALOHA time/depth series,SAMN05991717,"(22.7565,-157.995),(22.75,-158),(22.7565,-157.995)",22.7565,-157.995,marine biome,oceanic zone,sea water,7.91
HOT ALOHA time/depth series,SAMN05991718,"(22.75,-158),(22.75,-158),(22.75,-158)",22.75,-158,marine biome,marine mesopelagic zone,sea water,7.51
HOT ALOHA time/depth series,SAMN05991719,"(22.75,-158),(22.75,-158),(22.75,-158)",22.75,-158,marine biome,marine mesopelagic zone,sea water,7.33
HOT ALOHA time/depth series,SAMN05991720,"(22.75,-158),(22.75,-158),(22.75,-158)",22.75,-158,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991721,"(22.7583,-158.027),(22.75,-158),(22.7583,-158.027)",22.7583,-158.027,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991722,"(22.7583,-158.027),(22.75,-158),(22.7583,-158.027)",22.7583,-158.027,marine biome,marine wind mixed layer,sea water,8.08
HOT ALOHA time/depth series,SAMN05991723,"(22.7612,-158.009),(22.75,-158),(22.7612,-158.009)",22.7612,-158.009,marine biome,marine wind mixed layer,sea water,8.02
HOT ALOHA time/depth series,SAMN05991724,"(22.7612,-158.009),(22.75,-158),(22.7612,-158.009)",22.7612,-158.009,marine biome,oceanic zone,sea water,7.91
HOT ALOHA time/depth series,SAMN05991725,"(22.7505,-158.03),(22.75,-158),(22.7505,-158.03)",22.7505,-158.03,marine biome,marine mesopelagic zone,sea water,7.5
HOT ALOHA time/depth series,SAMN05991726,"(22.7505,-158.03),(22.75,-158),(22.7505,-158.03)",22.7505,-158.03,marine biome,marine mesopelagic zone,sea water,7.33
HOT ALOHA time/depth series,SAMN05991727,"(22.7505,-158.03),(22.75,-158),(22.7505,-158.03)",22.7505,-158.03,marine biome,marine mesopelagic zone,sea water,7.39
HOT ALOHA time/depth series,SAMN05991728,"(22.7498,-158),(22.75,-158),(22.7498,-158)",22.7498,-158,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991729,"(22.7498,-158),(22.75,-158),(22.7498,-158)",22.7498,-158,marine biome,marine wind mixed layer,sea water,8.07
HOT ALOHA time/depth series,SAMN05991730,"(22.7498,-158.001),(22.75,-158),(22.7498,-158.001)",22.7498,-158.001,marine biome,marine wind mixed layer,sea water,8.01
HOT ALOHA time/depth series,SAMN05991731,"(22.7498,-158.001),(22.75,-158),(22.7498,-158.001)",22.7498,-158.001,marine biome,oceanic zone,sea water,7.95
HOT ALOHA time/depth series,SAMN05991732,"(22.75,-158),(22.75,-158),(22.75,-158)",22.75,-158,marine biome,marine mesopelagic zone,sea water,7.5
HOT ALOHA time/depth series,SAMN05991733,"(22.75,-158),(22.75,-158),(22.75,-158)",22.75,-158,marine biome,marine mesopelagic zone,sea water,7.32
HOT ALOHA time/depth series,SAMN05991734,"(22.75,-158),(22.75,-158),(22.75,-158)",22.75,-158,marine biome,marine mesopelagic zone,sea water,7.38
HOT ALOHA time/depth series,SAMN11874501,"(22.7498,-158),(22.75,-158),(22.7498,-158)",22.7498,-158,marine biome,marine photic zone,sea water,8.09
HOT ALOHA time/depth series,SAMN11874502,"(22.7498,-158),(22.75,-158),(22.7498,-158)",22.7498,-158,marine biome,marine photic zone,sea water,8.09
HOT ALOHA time/depth series,SAMN11874503,"(22.7498,-158),(22.75,-158),(22.7498,-158)",22.7498,-158,marine biome,marine photic zone,sea water,8.09
HOT ALOHA time/depth series,SAMN11874504,"(22.7498,-158),(22.75,-158),(22.7498,-158)",22.7498,-158,marine biome,marine photic zone,sea water,8.08
HOT ALOHA time/depth series,SAMN11874509,"(22.7237,-157.98),(22.75,-158),(22.7237,-157.98)",22.7237,-157.98,marine biome,marine photic zone,sea water,7.92
HOT ALOHA time/depth series,SAMN11874512,"(22.7453,-158.007),(22.75,-158),(22.7453,-158.007)",22.7453,-158.007,marine biome,marine photic zone,sea water,7.47
HOT ALOHA time/depth series,SAMN11874513,"(22.7495,-157.999),(22.75,-158),(22.7495,-157.999)",22.7495,-157.999,marine biome,marine photic zone,sea water,8.07
HOT ALOHA time/depth series,SAMN11874515,"(22.7495,-157.999),(22.75,-158),(22.7495,-157.999)",22.7495,-157.999,marine biome,marine photic zone,sea water,8.07
HOT ALOHA time/depth series,SAMN11874516,"(22.7495,-157.999),(22.75,-158),(22.7495,-157.999)",22.7495,-157.999,marine biome,marine photic zone,sea water,8.07
HOT ALOHA time/depth series,SAMN11874517,"(22.7518,-158.021),(22.75,-158),(22.7518,-158.021)",22.7518,-158.021,marine biome,marine photic zone,sea water,7.54
HOT ALOHA time/depth series,SAMN11874518,"(22.7493,-158),(22.75,-158),(22.7493,-158)",22.7493,-158,marine biome,marine photic zone,sea water,8.07
HOT ALOHA time/depth series,SAMN11874520,"(22.7493,-158),(22.75,-158),(22.7493,-158)",22.7493,-158,marine biome,marine photic zone,sea water,8
HOT ALOHA time/depth series,SAMN11874522,"(22.8053,-158.046),(22.75,-158),(22.8053,-158.046)",22.8053,-158.046,marine biome,marine photic zone,sea water,7.95
HOT ALOHA time/depth series,SAMN11874525,"(22.7715,-157.986),(22.75,-158),(22.7715,-157.986)",22.7715,-157.986,marine biome,marine photic zone,sea water,8.06
HOT ALOHA time/depth series,SAMN11874526,"(22.7715,-157.986),(22.75,-158),(22.7715,-157.986)",22.7715,-157.986,marine biome,marine photic zone,sea water,8.06
HOT ALOHA time/depth series,SAMN11874527,"(22.7715,-157.986),(22.75,-158),(22.7715,-157.986)",22.7715,-157.986,marine biome,marine photic zone,sea water,8.05
HOT ALOHA time/depth series,SAMN11874528,"(22.7715,-157.986),(22.75,-158),(22.7715,-157.986)",22.7715,-157.986,marine biome,marine photic zone,sea water,8.05
HOT ALOHA time/depth series,SAMN11874530,"(22.7485,-158.021),(22.75,-158),(22.7485,-158.021)",22.7485,-158.021,marine biome,marine photic zone,sea water,8.04
HOT ALOHA time/depth series,SAMN11874532,"(22.7485,-158.021),(22.75,-158),(22.7485,-158.021)",22.7485,-158.021,marine biome,marine photic zone,sea water,7.98
HOT ALOHA time/depth series,SAMN11874533,"(22.7918,-157.996),(22.75,-158),(22.7918,-157.996)",22.7918,-157.996,marine biome,marine photic zone,sea water,7.98
HOT ALOHA time/depth series,SAMN11874536,"(22.7937,-158.064),(22.75,-158),(22.7937,-158.064)",22.7937,-158.064,marine biome,marine photic zone,sea water,7.48
HOT ALOHA time/depth series,SAMN11874537,"(22.7627,-157.959),(22.75,-158),(22.7627,-157.959)",22.7627,-157.959,marine biome,marine photic zone,sea water,8.06
HOT ALOHA time/depth series,SAMN11874538,"(22.7627,-157.959),(22.75,-158),(22.7627,-157.959)",22.7627,-157.959,marine biome,marine photic zone,sea water,8.06
HOT ALOHA time/depth series,SAMN11874539,"(22.7627,-157.959),(22.75,-158),(22.7627,-157.959)",22.7627,-157.959,marine biome,marine photic zone,sea water,8.06
HOT ALOHA time/depth series,SAMN11874540,"(22.7627,-157.959),(22.75,-158),(22.7627,-157.959)",22.7627,-157.959,marine biome,marine photic zone,sea water,8.06
