Project Name,Sample ID,Latitude,Longitude,latlong,Depth,Datetime,Start Date,End Date,Biome,Environmental Feature,Environmental Material,Oxygen,Temperature,Nitrate
GOS,SAMEA3512144,50.02885,-4.3367,"(50.02885,-4.3367)",1,Thu May 28 2009 11:15:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,182.573,12.44,0.268
GOS,SAMEA3512148,54.268715,7.1871166,"(54.268715,7.1871166)",1,Sat Jun 06 2009 07:35:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,12.29,2.476
GOS,SAMEA3512147,54.268715,7.1871166,"(54.268715,7.1871166)",1,Sat Jun 06 2009 07:35:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,12.29,2.476
GOS,SAMEA3512150,54.268715,7.1871166,"(54.268715,7.1871166)",17,Sat Jun 06 2009 07:35:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,11.57,2.63
GOS,SAMEA3512149,54.268715,7.1871166,"(54.268715,7.1871166)",17,Sat Jun 06 2009 07:35:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,11.57,2.63
GOS,SAMEA3512159,41.649536,2.8,"(41.649536,2.8)",3,Thu Nov 05 2009 10:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,6228.24,18.2,0.228
GOS,SAMEA3512158,41.649536,2.8,"(41.649536,2.8)",3,Thu Nov 05 2009 10:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,6228.24,18.2,0.228
GOS,SAMEA3512157,41.649536,2.8,"(41.649536,2.8)",3,Thu Nov 05 2009 10:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,6228.24,18.2,0.228
GOS,SAMEA3512168,40.808464,14.249701,"(40.808464,14.249701)",3,Wed Jul 14 2010 14:35:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,137.388,27.22,0.231
GOS,SAMEA3512167,40.808464,14.249701,"(40.808464,14.249701)",3,Wed Jul 14 2010 14:35:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,137.388,27.22,0.231
GOS,SAMEA3512166,40.808464,14.249701,"(40.808464,14.249701)",3,Wed Jul 14 2010 14:35:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,137.388,27.22,0.231
GOS,SAMEA3512169,38.25325,15.629167,"(38.25325,15.629167)",1,Fri Jul 16 2010 11:57:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,143.494,25.23,0.456
GOS,SAMEA3512170,38.25325,15.629167,"(38.25325,15.629167)",27,Fri Jul 16 2010 12:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,161.812,17.41,0.634
GOS,SAMEA3512184,38.827732,22.772516,"(38.827732,22.772516)",33,Mon Sep 13 2010 09:30:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,158.759,18.22,1.588
GOS,SAMEA3512183,38.827732,22.772516,"(38.827732,22.772516)",33,Mon Sep 13 2010 09:30:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,158.759,18.22,1.588
GOS,SAMEA3512182,38.827732,22.772516,"(38.827732,22.772516)",33,Mon Sep 13 2010 09:30:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,158.759,18.22,1.588
GOS,SAMEA3512185,36.383133,25.393566,"(36.383133,25.393566)",0.304878,Thu Sep 16 2010 09:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,140.441,24.65,0.244
GOS,SAMEA3512186,36.400368,25.390034,"(36.400368,25.390034)",0.304878,Thu Sep 16 2010 13:50:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,128.229,32,0.693
GOS,SAMEA3512161,39.49235,2.127316,"(39.49235,2.127316)",70,Sat Nov 07 2009 05:30:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,6912.13,15.6,1.076
GOS,SAMEA3512165,39.897102,11.7578335,"(39.897102,11.7578335)",1,Tue Jul 13 2010 12:20:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,134.64,28.32,0.053
GOS,SAMEA3512175,42.435883,28.135767,"(42.435883,28.135767)",0.304878,Tue Sep 07 2010 12:40:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,161.812,24.26,0.765
GOS,SAMEA3512174,42.435883,28.135767,"(42.435883,28.135767)",0.304878,Tue Sep 07 2010 12:40:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,161.812,24.26,0.765
GOS,SAMEA3512173,42.435883,28.135767,"(42.435883,28.135767)",0.304878,Tue Sep 07 2010 12:40:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,161.812,24.26,0.765
GOS,SAMEA3512178,42.435883,28.135767,"(42.435883,28.135767)",60,Tue Sep 07 2010 12:40:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,222.873,8.07,1.022
GOS,SAMEA3512177,42.435883,28.135767,"(42.435883,28.135767)",60,Tue Sep 07 2010 12:40:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,222.873,8.07,1.022
GOS,SAMEA3512176,42.435883,28.135767,"(42.435883,28.135767)",60,Tue Sep 07 2010 12:40:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,222.873,8.07,1.022
GOS,SAMEA3512190,27.863716,-13.68155,"(27.863716,-13.68155)",1,Fri Nov 19 2010 20:30:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,149.6,22.21,0.087
GOS,SAMEA3512191,27.863716,-13.68155,"(27.863716,-13.68155)",90,Fri Nov 19 2010 20:30:00 GMT-0700 (MST),,,ocean biome,ocean,sea water,155.706,19.87,0.097
HOT ALOHA time/depth series,SAMN05991650,22.7555,-157.988,"(22.7555,-157.988),(22.75,-158),(22.7555,-157.988)","25.8351,25,25","Sat Aug 07 2010 14:06:33 GMT-0700 (MST),Sat Aug 07 2010 14:06:33 GMT-0700 (MST)","Sat Aug 07 2010 13:40:00 GMT-0700 (MST),Sat Aug 07 2010 13:40:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,208.6,25.456,3.082
HOT ALOHA time/depth series,SAMN05991651,22.7555,-157.988,"(22.7555,-157.988),(22.75,-158),(22.7555,-157.988)","45.7061,45,45","Sat Aug 07 2010 14:04:01 GMT-0700 (MST),Sat Aug 07 2010 14:04:01 GMT-0700 (MST)","Sat Aug 07 2010 13:40:00 GMT-0700 (MST),Sat Aug 07 2010 13:40:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,209.4,25.3467,2.146
HOT ALOHA time/depth series,SAMN05991652,22.7555,-157.988,"(22.7555,-157.988),(22.75,-158),(22.7555,-157.988)","75.5089,75,75","Sat Aug 07 2010 14:01:12 GMT-0700 (MST),Sat Aug 07 2010 14:01:12 GMT-0700 (MST)","Sat Aug 07 2010 13:40:00 GMT-0700 (MST),Sat Aug 07 2010 13:40:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,210.3,25.2528,2.661
HOT ALOHA time/depth series,SAMN05991653,22.8337,-157.949,"(22.8337,-157.949),(22.75,-158),(22.8337,-157.949)","125.17,125,125","Sun Aug 08 2010 16:11:38 GMT-0700 (MST),Sun Aug 08 2010 16:11:38 GMT-0700 (MST)","Sun Aug 08 2010 15:16:00 GMT-0700 (MST),Sun Aug 08 2010 15:16:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,216.1,23.1095,0.193
HOT ALOHA time/depth series,SAMN05991654,22.8337,-157.949,"(22.8337,-157.949),(22.75,-158),(22.8337,-157.949)","200.632,200,200","Sun Aug 08 2010 16:08:15 GMT-0700 (MST),Sun Aug 08 2010 16:08:15 GMT-0700 (MST)","Sun Aug 08 2010 15:16:00 GMT-0700 (MST),Sun Aug 08 2010 15:16:00 GMT-0700 (MST)",,marine biome,oceanic zone,sea water,203.4,20.1055,0.815
HOT ALOHA time/depth series,SAMN05991655,22.745,-157.979,"(22.745,-157.979),(22.75,-158),(22.745,-157.979)","500.226,500,500","Sun Aug 08 2010 09:40:59 GMT-0700 (MST),Sun Aug 08 2010 09:40:59 GMT-0700 (MST)","Sun Aug 08 2010 08:57:00 GMT-0700 (MST),Sun Aug 08 2010 08:57:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,100.3,7.3897,29.157
HOT ALOHA time/depth series,SAMN05991656,22.745,-157.979,"(22.745,-157.979),(22.75,-158),(22.745,-157.979)","769.687,770,770","Sun Aug 08 2010 09:32:57 GMT-0700 (MST),Sun Aug 08 2010 09:32:57 GMT-0700 (MST)","Sun Aug 08 2010 08:57:00 GMT-0700 (MST),Sun Aug 08 2010 08:57:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,37.4,4.8687,40.433
HOT ALOHA time/depth series,SAMN05991657,22.745,-157.979,"(22.745,-157.979),(22.75,-158),(22.745,-157.979)","999.246,1000,1000","Sun Aug 08 2010 09:26:49 GMT-0700 (MST),Sun Aug 08 2010 09:26:49 GMT-0700 (MST)","Sun Aug 08 2010 08:57:00 GMT-0700 (MST),Sun Aug 08 2010 08:57:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,44.1,4.0688,40.676
HOT ALOHA time/depth series,SAMN05991658,22.7492,-158.06,"(22.7492,-158.06),(22.75,-158),(22.7492,-158.06)","25.8351,25,25","Fri Sep 03 2010 14:23:29 GMT-0700 (MST),Fri Sep 03 2010 14:23:29 GMT-0700 (MST)","Fri Sep 03 2010 13:53:00 GMT-0700 (MST),Fri Sep 03 2010 13:53:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,208.3,25.6187,1.576
HOT ALOHA time/depth series,SAMN05991659,22.7492,-158.06,"(22.7492,-158.06),(22.75,-158),(22.7492,-158.06)","45.7061,45,45","Fri Sep 03 2010 14:20:13 GMT-0700 (MST),Fri Sep 03 2010 14:20:13 GMT-0700 (MST)","Fri Sep 03 2010 13:53:00 GMT-0700 (MST),Fri Sep 03 2010 13:53:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,208.5,25.5986,1.252
HOT ALOHA time/depth series,SAMN05991660,22.7492,-158.06,"(22.7492,-158.06),(22.75,-158),(22.7492,-158.06)","75.5089,75,75","Fri Sep 03 2010 14:16:13 GMT-0700 (MST),Fri Sep 03 2010 14:16:13 GMT-0700 (MST)","Fri Sep 03 2010 13:53:00 GMT-0700 (MST),Fri Sep 03 2010 13:53:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,217.8,24.5858,1.146
HOT ALOHA time/depth series,SAMN05991661,22.7908,-158.003,"(22.7908,-158.003),(22.75,-158),(22.7908,-158.003)","125.17,125,125","Sat Sep 04 2010 16:41:18 GMT-0700 (MST),Sat Sep 04 2010 16:41:18 GMT-0700 (MST)","Sat Sep 04 2010 15:50:00 GMT-0700 (MST),Sat Sep 04 2010 15:50:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,205,22.2564,1.358
HOT ALOHA time/depth series,SAMN05991662,22.7908,-158.003,"(22.7908,-158.003),(22.75,-158),(22.7908,-158.003)","200.633,200,200","Sat Sep 04 2010 16:38:20 GMT-0700 (MST),Sat Sep 04 2010 16:38:20 GMT-0700 (MST)","Sat Sep 04 2010 15:50:00 GMT-0700 (MST),Sat Sep 04 2010 15:50:00 GMT-0700 (MST)",,marine biome,oceanic zone,sea water,204.2,19.6921,2.118
HOT ALOHA time/depth series,SAMN05991663,22.7293,-157.926,"(22.7293,-157.926),(22.75,-158),(22.7293,-157.926)","500.227,500,500","Sun Sep 05 2010 09:40:25 GMT-0700 (MST),Sun Sep 05 2010 09:40:25 GMT-0700 (MST)","Sun Sep 05 2010 08:48:00 GMT-0700 (MST),Sun Sep 05 2010 08:48:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,93.8,7.5125,30.172
HOT ALOHA time/depth series,SAMN05991664,22.7293,-157.926,"(22.7293,-157.926),(22.75,-158),(22.7293,-157.926)","769.688,770,770","Sun Sep 05 2010 09:29:19 GMT-0700 (MST),Sun Sep 05 2010 09:29:19 GMT-0700 (MST)","Sun Sep 05 2010 08:48:00 GMT-0700 (MST),Sun Sep 05 2010 08:48:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,34,4.9582,39.982
HOT ALOHA time/depth series,SAMN05991665,22.7293,-157.926,"(22.7293,-157.926),(22.75,-158),(22.7293,-157.926)","999.247,1000,1000","Sun Sep 05 2010 09:21:59 GMT-0700 (MST),Sun Sep 05 2010 09:21:59 GMT-0700 (MST)","Sun Sep 05 2010 08:48:00 GMT-0700 (MST),Sun Sep 05 2010 08:48:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,45,4.0098,41.576
HOT ALOHA time/depth series,SAMN05991666,22.7328,-157.971,"(22.7328,-157.971),(22.75,-158),(22.7328,-157.971)","25.8352,25,25","Sun Oct 03 2010 13:34:05 GMT-0700 (MST),Sun Oct 03 2010 13:34:05 GMT-0700 (MST)","Sun Oct 03 2010 13:07:00 GMT-0700 (MST),Sun Oct 03 2010 13:07:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,209.2,26.0483,1.959
HOT ALOHA time/depth series,SAMN05991667,22.7328,-157.971,"(22.7328,-157.971),(22.75,-158),(22.7328,-157.971)","45.7061,45,45","Sun Oct 03 2010 13:31:21 GMT-0700 (MST),Sun Oct 03 2010 13:31:21 GMT-0700 (MST)","Sun Oct 03 2010 13:07:00 GMT-0700 (MST),Sun Oct 03 2010 13:07:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,209.5,26.022,1.957
HOT ALOHA time/depth series,SAMN05991668,22.7328,-157.971,"(22.7328,-157.971),(22.75,-158),(22.7328,-157.971)","75.509,75,75","Sun Oct 03 2010 13:28:20 GMT-0700 (MST),Sun Oct 03 2010 13:28:20 GMT-0700 (MST)","Sun Oct 03 2010 13:07:00 GMT-0700 (MST),Sun Oct 03 2010 13:07:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,211.5,25.5631,1.717
HOT ALOHA time/depth series,SAMN05991669,22.7502,-157.999,"(22.7502,-157.999),(22.75,-158),(22.7502,-157.999)","200.634,200,200","Mon Oct 04 2010 15:43:25 GMT-0700 (MST),Mon Oct 04 2010 15:43:25 GMT-0700 (MST)","Mon Oct 04 2010 14:53:00 GMT-0700 (MST),Mon Oct 04 2010 14:53:00 GMT-0700 (MST)",,marine biome,oceanic zone,sea water,199.2,20.1283,1.119
HOT ALOHA time/depth series,SAMN05991670,22.6822,-157.956,"(22.6822,-157.956),(22.75,-158),(22.6822,-157.956)","500.228,500,500","Mon Oct 04 2010 09:59:06 GMT-0700 (MST),Mon Oct 04 2010 09:59:06 GMT-0700 (MST)","Mon Oct 04 2010 09:11:00 GMT-0700 (MST),Mon Oct 04 2010 09:11:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,104.7,7.5815,29.912
HOT ALOHA time/depth series,SAMN05991671,22.6822,-157.956,"(22.6822,-157.956),(22.75,-158),(22.6822,-157.956)","769.691,770,770","Mon Oct 04 2010 09:50:21 GMT-0700 (MST),Mon Oct 04 2010 09:50:21 GMT-0700 (MST)","Mon Oct 04 2010 09:11:00 GMT-0700 (MST),Mon Oct 04 2010 09:11:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,35.9,4.8397,40.279
HOT ALOHA time/depth series,SAMN05991672,22.6822,-157.956,"(22.6822,-157.956),(22.75,-158),(22.6822,-157.956)","999.25,1000,1000","Mon Oct 04 2010 09:41:41 GMT-0700 (MST),Mon Oct 04 2010 09:41:41 GMT-0700 (MST)","Mon Oct 04 2010 09:11:00 GMT-0700 (MST),Mon Oct 04 2010 09:11:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,45.1,3.9378,43.249
HOT ALOHA time/depth series,SAMN05991673,22.7452,-157.982,"(22.7452,-157.982),(22.75,-158),(22.7452,-157.982)","25.8351,25,25","Sun Nov 21 2010 23:43:44 GMT-0700 (MST),Sun Nov 21 2010 23:43:44 GMT-0700 (MST)","Sun Nov 21 2010 22:46:00 GMT-0700 (MST),Sun Nov 21 2010 22:46:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,207.6,25.1241,2.225
HOT ALOHA time/depth series,SAMN05991674,22.7452,-157.982,"(22.7452,-157.982),(22.75,-158),(22.7452,-157.982)","45.7061,45,45","Sun Nov 21 2010 23:41:23 GMT-0700 (MST),Sun Nov 21 2010 23:41:23 GMT-0700 (MST)","Sun Nov 21 2010 22:46:00 GMT-0700 (MST),Sun Nov 21 2010 22:46:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,207.7,25.083,2.292
HOT ALOHA time/depth series,SAMN05991675,22.7703,-158.016,"(22.7703,-158.016),(22.75,-158),(22.7703,-158.016)","75.5088,75,75","Sun Nov 21 2010 16:27:32 GMT-0700 (MST),Sun Nov 21 2010 16:27:32 GMT-0700 (MST)","Sun Nov 21 2010 15:35:00 GMT-0700 (MST),Sun Nov 21 2010 15:35:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,206.9,25.1119,2.902
HOT ALOHA time/depth series,SAMN05991676,22.7703,-158.016,"(22.7703,-158.016),(22.75,-158),(22.7703,-158.016)","125.171,125,125","Sun Nov 21 2010 16:24:58 GMT-0700 (MST),Sun Nov 21 2010 16:24:58 GMT-0700 (MST)","Sun Nov 21 2010 15:35:00 GMT-0700 (MST),Sun Nov 21 2010 15:35:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,213.4,23.6295,1.956
HOT ALOHA time/depth series,SAMN05991677,22.7468,-157.988,"(22.7468,-157.988),(22.75,-158),(22.7468,-157.988)","500.226,500,500","Sun Nov 21 2010 09:36:13 GMT-0700 (MST),Sun Nov 21 2010 09:36:13 GMT-0700 (MST)","Sun Nov 21 2010 08:54:00 GMT-0700 (MST),Sun Nov 21 2010 08:54:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,99.3,7.4708,31.533
HOT ALOHA time/depth series,SAMN05991678,22.7468,-157.988,"(22.7468,-157.988),(22.75,-158),(22.7468,-157.988)","769.687,770,770","Sun Nov 21 2010 09:28:54 GMT-0700 (MST),Sun Nov 21 2010 09:28:54 GMT-0700 (MST)","Sun Nov 21 2010 08:54:00 GMT-0700 (MST),Sun Nov 21 2010 08:54:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,21.7,4.4801,42.169
HOT ALOHA time/depth series,SAMN05991679,22.7468,-157.988,"(22.7468,-157.988),(22.75,-158),(22.7468,-157.988)","999.246,1000,1000","Sun Nov 21 2010 09:23:21 GMT-0700 (MST),Sun Nov 21 2010 09:23:21 GMT-0700 (MST)","Sun Nov 21 2010 08:54:00 GMT-0700 (MST),Sun Nov 21 2010 08:54:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,43,3.8436,42.289
HOT ALOHA time/depth series,SAMN05991680,22.674,-158.009,"(22.674,-158.009),(22.75,-158),(22.674,-158.009)","25.8353,25,25","Fri Jan 28 2011 10:25:44 GMT-0700 (MST),Fri Jan 28 2011 10:25:44 GMT-0700 (MST)","Fri Jan 28 2011 09:58:00 GMT-0700 (MST),Fri Jan 28 2011 09:58:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,210.7,23.5399,2.622
HOT ALOHA time/depth series,SAMN05991681,22.6655,-157.994,"(22.6655,-157.994),(22.75,-158),(22.6655,-157.994)","125.171,125,125","Sat Jan 29 2011 16:01:31 GMT-0700 (MST),Sat Jan 29 2011 16:01:31 GMT-0700 (MST)","Sat Jan 29 2011 15:09:00 GMT-0700 (MST),Sat Jan 29 2011 15:09:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,209.2,21.4483,2.027
HOT ALOHA time/depth series,SAMN05991682,22.6655,-157.994,"(22.6655,-157.994),(22.75,-158),(22.6655,-157.994)","200.635,200,200","Sat Jan 29 2011 15:58:02 GMT-0700 (MST),Sat Jan 29 2011 15:58:02 GMT-0700 (MST)","Sat Jan 29 2011 15:09:00 GMT-0700 (MST),Sat Jan 29 2011 15:09:00 GMT-0700 (MST)",,marine biome,oceanic zone,sea water,205.3,16.5216,5.191
HOT ALOHA time/depth series,SAMN05991683,22.7498,-158.001,"(22.7498,-158.001),(22.75,-158),(22.7498,-158.001)","500.226,500,500","Sat Jan 29 2011 09:43:07 GMT-0700 (MST),Sat Jan 29 2011 09:43:07 GMT-0700 (MST)","Sat Jan 29 2011 08:57:00 GMT-0700 (MST),Sat Jan 29 2011 08:57:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,105.3,7.4304,29.819
HOT ALOHA time/depth series,SAMN05991684,22.7498,-158.001,"(22.7498,-158.001),(22.75,-158),(22.7498,-158.001)","769.687,770,770","Sat Jan 29 2011 09:32:58 GMT-0700 (MST),Sat Jan 29 2011 09:32:58 GMT-0700 (MST)","Sat Jan 29 2011 08:57:00 GMT-0700 (MST),Sat Jan 29 2011 08:57:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,29.7,4.597,43.078
HOT ALOHA time/depth series,SAMN05991685,22.7498,-158.001,"(22.7498,-158.001),(22.75,-158),(22.7498,-158.001)","999.246,1000,1000","Sat Jan 29 2011 09:25:53 GMT-0700 (MST),Sat Jan 29 2011 09:25:53 GMT-0700 (MST)","Sat Jan 29 2011 08:57:00 GMT-0700 (MST),Sat Jan 29 2011 08:57:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,42.9,3.986,42.822
HOT ALOHA time/depth series,SAMN05991686,22.6877,-157.994,"(22.6877,-157.994),(22.75,-158),(22.6877,-157.994)","25.8352,25,25","Mon Apr 11 2011 10:58:50 GMT-0700 (MST),Mon Apr 11 2011 10:58:50 GMT-0700 (MST)","Mon Apr 11 2011 09:56:00 GMT-0700 (MST),Mon Apr 11 2011 09:56:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,211.3,23.915,0.814
HOT ALOHA time/depth series,SAMN05991687,22.6877,-157.994,"(22.6877,-157.994),(22.75,-158),(22.6877,-157.994)","75.5092,75,75","Mon Apr 11 2011 10:51:00 GMT-0700 (MST),Mon Apr 11 2011 10:51:00 GMT-0700 (MST)","Mon Apr 11 2011 09:56:00 GMT-0700 (MST),Mon Apr 11 2011 09:56:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,212.5,23.7545,0.662
HOT ALOHA time/depth series,SAMN05991688,22.7425,-158.001,"(22.7425,-158.001),(22.75,-158),(22.7425,-158.001)","125.171,125,125","Tue Apr 12 2011 18:24:01 GMT-0700 (MST),Tue Apr 12 2011 18:24:01 GMT-0700 (MST)","Tue Apr 12 2011 17:09:00 GMT-0700 (MST),Tue Apr 12 2011 17:09:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,207.4,22.2434,-0.149
HOT ALOHA time/depth series,SAMN05991689,22.7425,-158.001,"(22.7425,-158.001),(22.75,-158),(22.7425,-158.001)","200.634,200,200","Tue Apr 12 2011 18:21:02 GMT-0700 (MST),Tue Apr 12 2011 18:21:02 GMT-0700 (MST)","Tue Apr 12 2011 17:09:00 GMT-0700 (MST),Tue Apr 12 2011 17:09:00 GMT-0700 (MST)",,marine biome,oceanic zone,sea water,200.5,19.0618,2.508
HOT ALOHA time/depth series,SAMN05991690,22.7942,-158.087,"(22.7942,-158.087),(22.75,-158),(22.7942,-158.087)","500.225,500,500","Tue Apr 12 2011 12:23:23 GMT-0700 (MST),Tue Apr 12 2011 12:23:23 GMT-0700 (MST)","Tue Apr 12 2011 11:19:00 GMT-0700 (MST),Tue Apr 12 2011 11:19:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,102.1,7.795,28.161
HOT ALOHA time/depth series,SAMN05991691,22.7942,-158.087,"(22.7942,-158.087),(22.75,-158),(22.7942,-158.087)","769.685,770,770","Tue Apr 12 2011 12:15:28 GMT-0700 (MST),Tue Apr 12 2011 12:15:28 GMT-0700 (MST)","Tue Apr 12 2011 11:19:00 GMT-0700 (MST),Tue Apr 12 2011 11:19:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,27,5.1102,41.416
HOT ALOHA time/depth series,SAMN05991692,22.7942,-158.087,"(22.7942,-158.087),(22.75,-158),(22.7942,-158.087)","999.243,1000,1000","Tue Apr 12 2011 12:09:04 GMT-0700 (MST),Tue Apr 12 2011 12:09:04 GMT-0700 (MST)","Tue Apr 12 2011 11:19:00 GMT-0700 (MST),Tue Apr 12 2011 11:19:00 GMT-0700 (MST)",,marine biome,marine mesopelagic zone,sea water,38.6,4.3067,42.295
HOT ALOHA time/depth series,SAMN05991693,22.7347,-157.999,"(22.7347,-157.999),(22.75,-158),(22.7347,-157.999)","25.8352,25,25","Mon May 09 2011 13:13:40 GMT-0700 (MST),Mon May 09 2011 13:13:40 GMT-0700 (MST)","Mon May 09 2011 12:51:00 GMT-0700 (MST),Mon May 09 2011 12:51:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,209.1,24.3528,1.868
HOT ALOHA time/depth series,SAMN05991694,22.7347,-157.999,"(22.7347,-157.999),(22.75,-158),(22.7347,-157.999)","75.509,75,75","Mon May 09 2011 13:08:07 GMT-0700 (MST),Mon May 09 2011 13:08:07 GMT-0700 (MST)","Mon May 09 2011 12:51:00 GMT-0700 (MST),Mon May 09 2011 12:51:00 GMT-0700 (MST)",,marine biome,marine wind mixed layer,sea water,212.2,22.7002,2.691
